objectid,filename,title,publisher,creator,date,description,format,genre,medium,subject,location,latitude,longitude,language,is_part_of,collection,source,object_thumb,object_location,reference_url,rights,rightsstatement
w.loring.001,loring_prosthetic.jpg,General Loring,The American Civil War Museum,unknown,,"Studio portrait of William Wing Loring, standing with right forearm resting on vase holding glove in right hand, and prosthetic left arm held at waist; wearing civilian clothing.",image/jpg,carte-de-visite,photograph,William Wing Loring,,,,,,,,,,https://acwm.pastperfectonline.com/Photo/BCFFD520-A474-4D65-BC49-944899176421,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/
w.loring.002,loring_egypt.png,"Loring Pacha, Fereek and General",Dodd & Mead Company,unknown,1884,"Plate print of William Wing Loring wearing an Egyptian military uniform and fez, seated with his left arm sleeve pinned with a star to his breast.",image/png,portrait,print,William Wing Loring,"Cairo, Egypt",30.033333,31.233334,,,,,,,https://books.google.com/books?id=NSkqDwAAQBAJ&pg=PA1&source=gbs_toc_r&cad=2#v=onepage&q&f=false,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/
w.loring.003,A_Confederate_Soldier_in_Egypt.pdf,A Confederate Soldier in Egypt,Dodd & Mead Company,William Wing Loring,1884,"Book written by William Wing Loring that details his ten years in the Egyptian military (1869-1879), including descriptions of military expeditions and instances of travel throughout Egypt.",application/pdf,memoir,book,William Wing Loring; Charles Pomeroy Stone; Alexander Welch Reynolds; Frank A. Reynolds; Erastus Sparrow Purdy; Charles Chaille-Long; Raleigh Edward Colston; William McEntyre Dye; Charles William Field; Alexander Macomb Mason; Thomas Grimke Rhett; Samuel H. Lockett; Henry Clay Derrick; Charles Iverson Graves; David Essex Porter; Vanderbilt Allen; Beverly Kennon; James Alfred Dennison; Henry Goslee Prout; Charles Frederick Loshe; Edward Warren; William H. Ward; Thomas D. Johnson; Henry Irgins; William H. Wilson,New York,40.73061,-73.935242,eng,,,,,,https://books.google.com/books?id=NSkqDwAAQBAJ&pg=PA1&source=gbs_toc_r&cad=2#v=onepage&q&f=false,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/
w.loring.004,loring_account_book.pdf,Account Book of William Wing Loring,unpublished,William Wing Loring,1870,"Unpublished account book handwritted by William Wing Loring, with entries dated from June through October 1870. Includes descriptions of places Loring traveled to as well as his comments on the organization of the Egyptian military.",application/pdf,account book,book,William Wing Loring; James Morris Morgan; Charles Pomeroy Stone; Henry Hopkins Sibley; Alexander Welch Reynolds; Walter Hanson Jenifer; William H. Ward; William W. Dunlap; Cornelius Hunt,,,,eng,,,,,,https://findingaids.uflib.ufl.edu/repositories/2/resources/239,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/
w.loring.005,loring_grant.jpg,untitled,,unknown,1878,William Wing Loring poses with Ulysses S. Grant at the Pyramids of Giza,image/jpg,,photograph,William Wing Loring; Ulysses S. Grant,"Giza, Egypt",29.9792,31.1342,,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/
w.loring.006,loring_egypt2.jpg,General W.W. Loring,Houghton Mifflin Co.,unknown,1870,"William Wing Loring standing in his Egyptian military uniform, taken sometime at the beginning of his service to the Khedive.",image/jpg,,photograph,William Wing Loring,"Cairo, Egypt",30.033333,31.233334,,,,,,,https://garystockbridge617.getarchive.net/amp/media/general-w-w-loring-in-cairo-42b575,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/
w.loring.007,old_blizzards.jpg,"""Old Blizzards""",The American Civil War Museum,unknown,,Photograph of William Wing Loring in his Confederate military uniform. The image is tinted with gold and pink.,image/jpg,ambrotype,photograph,William Wing Loring,,,,,,,,,,https://acwm.pastperfectonline.com/byperson?keyword=Loring%2C%20William%20Wing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/
j.morgan.001,Recollections_of_a_Rebel_Reefer.pdf,Recollections of a Rebel Reefer,Houghton Mifflin Co.,James Morris Morgan,1917,Book written by James Morris Morgan that details his life from his service in the Confederate Army to his role in the Egyptian Army.,application/pdf,memoir,book,James Morris Morgan; William Wing Loring; Charles Pomeroy Stone; Henry Hopkins Sibley; Alexander Welch Reynolds; Frank A. Reynolds; Thaddeus Phelps Mott; Erastus Sparrow Purdy; Charles Chaille-Long; Alexander Macomb Mason; Thomas Grimke Rhett; Vanderbilt Allen; Walter Hanson Jenifer; Beverly Kennon; William H. Ward; William P. A. Campbell; William W. Dunlap; Cornelius Hunt; Edmund Parys,,,,eng,,,,,,https://books.google.com/books/about/Recollections_of_a_Rebel_Reefer.html?id=tDZ3AAAAMAAJ&source=kp_book_description,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/
j.morgan.002,morgan_young.jpg,"Midshipman James Morris Morgan, C.S.N.",Houghton Mifflin Co.,unknown,1860,Photograph of James Morris Morgan at the age of 15 in the Confederate Army.,image/jpg,,photograph,James Morris Morgan ,,,,,,,,,,,,
j.morgan.003,morgan_civil_war.jpg,Midshipman Morgan,Houghton Mifflin Co.,unknown,1863,Photograph of James Morris Morgan posing in his Confederate uniform.,image/jpg,,photograph,James Morris Morgan,,,,,,,,,,,,
